chr	start	end	co_100k	cM_Mb	a$cM_Mb
Athal_NC_003070.9	5900000	6000000	5	5	5
Athal_NC_003070.9	6000000	6100000	4	4	4
Athal_NC_003070.9	6100000	6200000	7	7	7
Athal_NC_003070.9	6200000	6300000	12	12	12
Athal_NC_003070.9	6300000	6400000	10	10	10
Athal_NC_003070.9	6400000	6500000	7	7	7
Athal_NC_003070.9	6500000	6600000	14	14	14
Athal_NC_003070.9	6600000	6700000	28	28	28
Athal_NC_003070.9	6700000	6800000	9	9	9
Athal_NC_003070.9	6800000	6900000	20	20	20
Athal_NC_003070.9	6900000	7000000	15	15	15
Athal_NC_003070.9	7000000	7100000	20	20	20
Athal_NC_003070.9	7100000	7200000	9	9	9
Athal_NC_003070.9	7200000	7300000	8	8	8
Athal_NC_003070.9	7300000	7400000	9	9	9
Athal_NC_003070.9	7400000	7500000	17	17	17
Athal_NC_003070.9	7500000	7600000	8	8	8
Athal_NC_003070.9	7600000	7700000	15	15	15
Athal_NC_003070.9	7700000	7800000	41	41	41
Athal_NC_003070.9	7800000	7900000	27	27	27
Athal_NC_003070.9	7900000	8000000	17	17	17
Athal_NC_003070.9	8000000	8100000	25	25	25
Athal_NC_003070.9	8100000	8200000	29	29	29
Athal_NC_003070.9	8200000	8300000	14	14	14
Athal_NC_003070.9	8300000	8400000	29	29	29
Athal_NC_003070.9	8400000	8500000	14	14	14
Athal_NC_003070.9	8500000	8600000	17	17	17
Athal_NC_003070.9	8600000	8700000	11	11	11
Athal_NC_003070.9	8700000	8800000	5	5	5
Athal_NC_003070.9	8800000	8900000	4	4	4
Athal_NC_003070.9	8900000	9000000	39	39	39
Athal_NC_003070.9	9000000	9100000	10	10	10
Athal_NC_003070.9	9100000	9200000	26	26	26
Athal_NC_003070.9	9200000	9300000	13	13	13
Athal_NC_003070.9	9300000	9400000	13	13	13
Athal_NC_003070.9	9400000	9500000	18	18	18
Athal_NC_003070.9	9500000	9600000	3	3	3
Athal_NC_003070.9	9600000	9700000	4	4	4
Athal_NC_003070.9	9700000	9800000	7	7	7
Athal_NC_003070.9	9800000	9900000	30	30	30
Athal_NC_003070.9	9900000	10000000	25	25	25
Athal_NC_003070.9	10000000	10100000	14	14	14
Athal_NC_003070.9	10100000	10200000	21	21	21
Athal_NC_003070.9	10200000	10300000	17	17	17
Athal_NC_003070.9	10300000	10400000	11	11	11
Athal_NC_003070.9	10400000	10500000	14	14	14
Athal_NC_003070.9	10500000	10600000	22	22	22
Athal_NC_003070.9	10600000	10700000	26	26	26
Athal_NC_003070.9	10700000	10800000	5	5	5
Athal_NC_003070.9	10800000	10900000	12	12	12
Athal_NC_003070.9	10900000	11000000	20	20	20
Athal_NC_003070.9	11000000	11100000	22	22	22
Athal_NC_003070.9	11100000	11200000	37	37	37
Athal_NC_003070.9	11200000	11300000	22	22	22
Athal_NC_003070.9	11300000	11400000	11	11	11
Athal_NC_003070.9	11400000	11500000	28	28	28
Athal_NC_003070.9	11500000	11600000	13	13	13
Athal_NC_003070.9	11600000	11700000	18	18	18
Athal_NC_003070.9	11700000	11800000	14	14	14
Athal_NC_003070.9	11800000	11900000	26	26	26
Athal_NC_003070.9	11900000	12000000	22	22	22
Athal_NC_003070.9	12000000	12100000	9	9	9
Athal_NC_003070.9	12100000	12200000	6	6	6
Athal_NC_003070.9	12200000	12300000	16	16	16
Athal_NC_003070.9	12300000	12400000	16	16	16
Athal_NC_003070.9	12400000	12500000	24	24	24
Athal_NC_003070.9	12500000	12600000	19	19	19
Athal_NC_003070.9	12600000	12700000	31	31	31
Athal_NC_003070.9	12700000	12800000	17	17	17
Athal_NC_003070.9	12800000	12900000	3	3	3
Athal_NC_003070.9	12900000	13000000	21	21	21
Athal_NC_003070.9	13000000	13100000	49	49	49
Athal_NC_003070.9	13100000	13200000	19	19	19
Athal_NC_003070.9	13200000	13300000	22	22	22
Athal_NC_003070.9	13300000	13400000	9	9	9
Athal_NC_003070.9	13400000	13500000	15	15	15
Athal_NC_003070.9	13500000	13600000	1	1	1
Athal_NC_003070.9	13600000	13700000	1	1	1
Athal_NC_003070.9	13700000	13800000	0	0	0
Athal_NC_003070.9	13800000	13900000	2	2	2
Athal_NC_003070.9	13900000	14000000	1	1	1
Athal_NC_003070.9	14000000	14100000	1	1	1
Athal_NC_003070.9	14100000	14200000	5	5	5
Athal_NC_003070.9	14200000	14300000	0	0	0
Athal_NC_003070.9	14300000	14400000	0	0	0
Athal_NC_003070.9	14400000	14500000	0	0	0
Athal_NC_003070.9	14500000	14600000	0	0	0
Athal_NC_003070.9	14600000	14700000	0	0	0
Athal_NC_003070.9	14700000	14800000	0	0	0
Athal_NC_003070.9	14800000	14900000	0	0	0
Athal_NC_003070.9	14900000	15000000	0	0	0
Athal_NC_003070.9	15000000	15100000	0	0	0
Athal_NC_003070.9	15100000	15200000	0	0	0
Athal_NC_003070.9	15200000	15300000	0	0	0
Athal_NC_003070.9	15300000	15400000	0	0	0
Athal_NC_003070.9	15400000	15500000	0	0	0
Athal_NC_003070.9	15500000	15600000	1	1	1
Athal_NC_003070.9	15600000	15700000	8	8	8
Athal_NC_003070.9	15700000	15800000	0	0	0
Athal_NC_003070.9	15800000	15900000	2	2	2
Athal_NC_003070.9	15900000	16000000	9	9	9
Athal_NC_003070.9	16000000	16100000	0	0	0
Athal_NC_003070.9	16100000	16200000	41	41	41
Athal_NC_003070.9	16200000	16300000	13	13	13
Athal_NC_003070.9	16300000	16400000	3	3	3
Athal_NC_003070.9	16400000	16500000	37	37	37
Athal_NC_003070.9	16500000	16600000	8	8	8
Athal_NC_003070.9	16600000	16700000	22	22	22
Athal_NC_003070.9	16700000	16800000	33	33	33
Athal_NC_003070.9	16800000	16900000	28	28	28
Athal_NC_003070.9	16900000	17000000	17	17	17
Athal_NC_003070.9	17000000	17100000	12	12	12
Athal_NC_003070.9	17100000	17200000	24	24	24
Athal_NC_003070.9	17200000	17300000	77	77	77
Athal_NC_003070.9	17300000	17400000	40	40	40
Athal_NC_003070.9	17400000	17500000	11	11	11
Athal_NC_003070.9	17500000	17600000	13	13	13
Athal_NC_003070.9	17600000	17700000	12	12	12
Athal_NC_003070.9	17700000	17800000	18	18	18
Athal_NC_003070.9	17800000	17900000	21	21	21
Athal_NC_003070.9	17900000	18000000	13	13	13
Athal_NC_003070.9	18000000	18100000	11	11	11
Athal_NC_003070.9	18100000	18200000	16	16	16
Athal_NC_003070.9	18200000	18300000	8	8	8
Athal_NC_003070.9	18300000	18400000	12	12	12
Athal_NC_003070.9	18400000	18500000	17	17	17
Athal_NC_003070.9	18500000	18600000	4	4	4
Athal_NC_003070.9	18600000	18700000	4	4	4
Athal_NC_003070.9	18700000	18800000	12	12	12
Athal_NC_003070.9	18800000	18900000	6	6	6
Athal_NC_003070.9	18900000	19000000	7	7	7
Athal_NC_003070.9	19000000	19100000	22	22	22
Athal_NC_003070.9	19100000	19200000	9	9	9
Athal_NC_003070.9	19200000	19300000	11	11	11
Athal_NC_003070.9	19300000	19400000	9	9	9
Athal_NC_003070.9	19400000	19500000	21	21	21
Athal_NC_003070.9	19500000	19600000	19	19	19
Athal_NC_003070.9	19600000	19700000	27	27	27
Athal_NC_003070.9	19700000	19800000	6	6	6
Athal_NC_003070.9	19800000	19900000	26	26	26
Athal_NC_003070.9	19900000	20000000	10	10	10
Athal_NC_003070.9	20000000	20100000	17	17	17
Athal_NC_003070.9	20100000	20200000	14	14	14
Athal_NC_003070.9	20200000	20300000	5	5	5
Athal_NC_003070.9	20300000	20400000	7	7	7
Athal_NC_003070.9	20400000	20500000	9	9	9
Athal_NC_003070.9	20500000	20600000	12	12	12
Athal_NC_003070.9	20600000	20700000	5	5	5
Athal_NC_003070.9	20700000	20800000	10	10	10
Athal_NC_003070.9	20800000	20900000	5	5	5
Athal_NC_003070.9	20900000	21000000	7	7	7
Athal_NC_003070.9	21000000	21100000	14	14	14
Athal_NC_003070.9	21100000	21200000	13	13	13
Athal_NC_003070.9	21200000	21300000	5	5	5
Athal_NC_003070.9	21300000	21400000	9	9	9
Athal_NC_003070.9	21400000	21500000	10	10	10
Athal_NC_003070.9	21500000	21600000	5	5	5
Athal_NC_003070.9	21600000	21700000	6	6	6
Athal_NC_003070.9	21700000	21800000	7	7	7
Athal_NC_003070.9	21800000	21900000	6	6	6
Athal_NC_003070.9	21900000	22000000	13	13	13
Athal_NC_003070.9	22000000	22100000	12	12	12
Athal_NC_003070.9	22100000	22200000	13	13	13
Athal_NC_003070.9	22200000	22300000	8	8	8
Athal_NC_003070.9	22300000	22400000	11	11	11
Athal_NC_003070.9	22400000	22500000	3	3	3
Athal_NC_003070.9	22500000	22600000	7	7	7
Athal_NC_003070.9	22600000	22700000	10	10	10
Athal_NC_003070.9	22700000	22800000	7	7	7
Athal_NC_003070.9	22800000	22900000	18	18	18
Athal_NC_003070.9	22900000	23000000	9	9	9
Athal_NC_003070.9	23000000	23100000	25	25	25
Athal_NC_003070.9	23100000	23200000	15	15	15
Athal_NC_003070.9	23200000	23300000	19	19	19
Athal_NC_003070.9	23300000	23400000	16	16	16
Athal_NC_003070.9	23400000	23500000	21	21	21
Athal_NC_003070.9	23500000	23600000	10	10	10
Athal_NC_003070.9	23600000	23700000	11	11	11
Athal_NC_003070.9	23700000	23800000	19	19	19
Athal_NC_003070.9	23800000	23900000	5	5	5
Athal_NC_003070.9	23900000	24000000	9	9	9
Athal_NC_003070.9	24000000	24100000	12	12	12
Athal_NC_003070.9	24100000	24200000	8	8	8
Athal_NC_003070.9	24200000	24300000	11	11	11
Athal_NC_003070.9	24300000	24400000	20	20	20
Athal_NC_003070.9	24400000	24500000	34	34	34
Athal_NC_003070.9	24500000	24600000	17	17	17
Athal_NC_003070.9	24600000	24700000	33	33	33
Athal_NC_003070.9	24700000	24800000	24	24	24
Athal_NC_003070.9	24800000	24900000	31	31	31
Athal_NC_003070.9	24900000	25000000	19	19	19
Athal_NC_003070.9	25000000	25100000	10	10	10
Athal_NC_003070.9	25100000	25200000	10	10	10
Athal_NC_003070.9	25200000	25300000	21	21	21
Athal_NC_003070.9	25300000	25400000	17	17	17
Athal_NC_003070.9	25400000	25500000	17	17	17
Athal_NC_003070.9	25500000	25600000	11	11	11
Athal_NC_003070.9	25600000	25700000	34	34	34
Athal_NC_003070.9	25700000	25800000	22	22	22
Athal_NC_003070.9	25800000	25900000	8	8	8
Athal_NC_003070.9	25900000	26000000	9	9	9
Athal_NC_003070.9	26000000	26100000	19	19	19
Athal_NC_003070.9	26100000	26200000	19	19	19
Athal_NC_003070.9	26200000	26300000	21	21	21
Athal_NC_003070.9	26300000	26400000	32	32	32
Athal_NC_003070.9	26400000	26500000	30	30	30
Athal_NC_003070.9	26500000	26600000	29	29	29
Athal_NC_003070.9	26600000	26700000	28	28	28
Athal_NC_003070.9	26700000	26800000	24	24	24
Athal_NC_003070.9	26800000	26900000	15	15	15
Athal_NC_003070.9	26900000	27000000	12	12	12
Athal_NC_003070.9	27000000	27100000	10	10	10
Athal_NC_003070.9	27100000	27200000	31	31	31
Athal_NC_003070.9	27200000	27300000	3	3	3
Athal_NC_003070.9	27300000	27400000	14	14	14
Athal_NC_003070.9	27400000	27500000	6	6	6
Athal_NC_003070.9	27500000	27600000	16	16	16
Athal_NC_003070.9	27600000	27700000	14	14	14
Athal_NC_003070.9	27700000	27800000	2	2	2
Athal_NC_003070.9	27800000	27900000	5	5	5
Athal_NC_003070.9	27900000	28000000	5	5	5
Athal_NC_003070.9	28000000	28100000	3	3	3
Athal_NC_003070.9	28100000	28200000	13	13	13
Athal_NC_003070.9	28200000	28300000	14	14	14
Athal_NC_003070.9	28300000	28400000	18	18	18
Athal_NC_003070.9	28400000	28500000	21	21	21
Athal_NC_003070.9	28500000	28600000	18	18	18
Athal_NC_003070.9	28600000	28700000	7	7	7
Athal_NC_003070.9	28700000	28800000	14	14	14
Athal_NC_003070.9	28800000	28900000	14	14	14
Athal_NC_003070.9	28900000	29000000	31	31	31
Athal_NC_003070.9	29000000	29100000	9	9	9
Athal_NC_003070.9	29100000	29200000	13	13	13
Athal_NC_003070.9	29200000	29300000	18	18	18
Athal_NC_003070.9	29300000	29400000	30	30	30
Athal_NC_003070.9	29400000	29500000	21	21	21
Athal_NC_003070.9	29500000	29600000	19	19	19
Athal_NC_003070.9	29600000	29700000	9	9	9
Athal_NC_003070.9	29700000	29800000	19	19	19
Athal_NC_003070.9	29800000	29900000	14	14	14
Athal_NC_003070.9	29900000	30000000	3	3	3
Athal_NC_003070.9	30000000	30100000	5	5	5
Athal_NC_003070.9	30100000	30200000	11	11	11
Athal_NC_003070.9	30200000	30300000	10	10	10
Athal_NC_003070.9	30300000	30400000	4	4	4
Athal_NC_003071.7	0	100000	8	8	8
Athal_NC_003071.7	100000	200000	40	40	40
Athal_NC_003071.7	200000	300000	50	50	50
Athal_NC_003071.7	300000	400000	46	46	46
Athal_NC_003071.7	400000	500000	49	49	49
Athal_NC_003071.7	500000	600000	23	23	23
Athal_NC_003071.7	600000	700000	31	31	31
Athal_NC_003071.7	700000	800000	21	21	21
Athal_NC_003071.7	800000	900000	31	31	31
Athal_NC_003071.7	900000	1000000	20	20	20
Athal_NC_003071.7	1000000	1100000	37	37	37
Athal_NC_003071.7	1100000	1200000	34	34	34
Athal_NC_003071.7	1200000	1300000	6	6	6
Athal_NC_003071.7	1300000	1400000	7	7	7
Athal_NC_003071.7	1400000	1500000	40	40	40
Athal_NC_003071.7	1500000	1600000	36	36	36
Athal_NC_003071.7	1600000	1700000	32	32	32
Athal_NC_003071.7	1700000	1800000	5	5	5
Athal_NC_003071.7	1800000	1900000	18	18	18
Athal_NC_003071.7	1900000	2000000	26	26	26
Athal_NC_003071.7	2000000	2100000	12	12	12
Athal_NC_003071.7	2100000	2200000	21	21	21
Athal_NC_003071.7	2200000	2300000	51	51	51
Athal_NC_003071.7	2300000	2400000	34	34	34
Athal_NC_003071.7	2400000	2500000	6	6	6
Athal_NC_003071.7	2500000	2600000	1	1	1
Athal_NC_003071.7	2600000	2700000	0	0	0
Athal_NC_003071.7	2700000	2800000	0	0	0
Athal_NC_003071.7	2800000	2900000	6	6	6
Athal_NC_003071.7	2900000	3000000	14	14	14
Athal_NC_003071.7	3000000	3100000	2	2	2
Athal_NC_003071.7	3100000	3200000	0	0	0
Athal_NC_003071.7	3200000	3300000	0	0	0
Athal_NC_003071.7	3300000	3400000	0	0	0
Athal_NC_003071.7	3400000	3500000	0	0	0
Athal_NC_003071.7	3500000	3600000	1	1	1
Athal_NC_003071.7	3600000	3700000	0	0	0
Athal_NC_003071.7	3700000	3800000	0	0	0
Athal_NC_003071.7	3800000	3900000	0	0	0
Athal_NC_003071.7	3900000	4000000	0	0	0
Athal_NC_003071.7	4000000	4100000	3	3	3
Athal_NC_003071.7	4100000	4200000	1	1	1
Athal_NC_003071.7	4200000	4300000	1	1	1
Athal_NC_003071.7	4300000	4400000	6	6	6
Athal_NC_003071.7	4400000	4500000	0	0	0
Athal_NC_003071.7	4500000	4600000	2	2	2
Athal_NC_003071.7	4600000	4700000	1	1	1
Athal_NC_003071.7	4700000	4800000	5	5	5
Athal_NC_003071.7	4800000	4900000	6	6	6
Athal_NC_003071.7	4900000	5000000	4	4	4
Athal_NC_003071.7	5000000	5100000	11	11	11
Athal_NC_003071.7	5100000	5200000	1	1	1
Athal_NC_003071.7	5200000	5300000	2	2	2
Athal_NC_003071.7	5300000	5400000	1	1	1
Athal_NC_003071.7	5400000	5500000	5	5	5
Athal_NC_003071.7	5500000	5600000	17	17	17
Athal_NC_003071.7	5600000	5700000	14	14	14
Athal_NC_003071.7	5700000	5800000	6	6	6
Athal_NC_003071.7	5800000	5900000	7	7	7
Athal_NC_003071.7	5900000	6000000	20	20	20
Athal_NC_003071.7	6000000	6100000	37	37	37
Athal_NC_003071.7	6100000	6200000	9	9	9
Athal_NC_003071.7	6200000	6300000	54	54	54
Athal_NC_003071.7	6300000	6400000	31	31	31
Athal_NC_003071.7	6400000	6500000	12	12	12
Athal_NC_003071.7	6500000	6600000	30	30	30
Athal_NC_003071.7	6600000	6700000	33	33	33
Athal_NC_003071.7	6700000	6800000	39	39	39
Athal_NC_003071.7	6800000	6900000	44	44	44
Athal_NC_003071.7	6900000	7000000	21	21	21
Athal_NC_003071.7	7000000	7100000	30	30	30
Athal_NC_003071.7	7100000	7200000	12	12	12
Athal_NC_003071.7	7200000	7300000	45	45	45
Athal_NC_003071.7	7300000	7400000	21	21	21
Athal_NC_003071.7	7400000	7500000	20	20	20
Athal_NC_003071.7	7500000	7600000	18	18	18
Athal_NC_003071.7	7600000	7700000	23	23	23
Athal_NC_003071.7	7700000	7800000	29	29	29
Athal_NC_003071.7	7800000	7900000	24	24	24
Athal_NC_003071.7	7900000	8000000	26	26	26
Athal_NC_003071.7	8000000	8100000	19	19	19
Athal_NC_003071.7	8100000	8200000	12	12	12
Athal_NC_003071.7	8200000	8300000	23	23	23
Athal_NC_003071.7	8300000	8400000	13	13	13
Athal_NC_003071.7	8400000	8500000	13	13	13
Athal_NC_003071.7	8500000	8600000	17	17	17
Athal_NC_003071.7	8600000	8700000	7	7	7
Athal_NC_003071.7	8700000	8800000	8	8	8
Athal_NC_003071.7	8800000	8900000	2	2	2
Athal_NC_003071.7	8900000	9000000	8	8	8
Athal_NC_003071.7	9000000	9100000	4	4	4
Athal_NC_003071.7	9100000	9200000	8	8	8
Athal_NC_003071.7	9200000	9300000	20	20	20
Athal_NC_003071.7	9300000	9400000	12	12	12
Athal_NC_003071.7	9400000	9500000	7	7	7
Athal_NC_003071.7	9500000	9600000	38	38	38
Athal_NC_003071.7	9600000	9700000	33	33	33
Athal_NC_003071.7	9700000	9800000	29	29	29
Athal_NC_003071.7	9800000	9900000	19	19	19
Athal_NC_003071.7	9900000	10000000	38	38	38
Athal_NC_003071.7	10000000	10100000	14	14	14
Athal_NC_003071.7	10100000	10200000	26	26	26
Athal_NC_003071.7	10200000	10300000	26	26	26
Athal_NC_003071.7	10300000	10400000	19	19	19
Athal_NC_003071.7	10400000	10500000	14	14	14
Athal_NC_003071.7	10500000	10600000	13	13	13
Athal_NC_003071.7	10600000	10700000	15	15	15
Athal_NC_003071.7	10700000	10800000	14	14	14
Athal_NC_003071.7	10800000	10900000	16	16	16
Athal_NC_003071.7	10900000	11000000	6	6	6
Athal_NC_003071.7	11000000	11100000	10	10	10
Athal_NC_003071.7	11100000	11200000	12	12	12
Athal_NC_003071.7	11200000	11300000	8	8	8
Athal_NC_003071.7	11300000	11400000	6	6	6
Athal_NC_003071.7	11400000	11500000	4	4	4
Athal_NC_003071.7	11500000	11600000	17	17	17
Athal_NC_003071.7	11600000	11700000	17	17	17
Athal_NC_003071.7	11700000	11800000	19	19	19
Athal_NC_003071.7	11800000	11900000	17	17	17
Athal_NC_003071.7	11900000	12000000	23	23	23
Athal_NC_003071.7	12000000	12100000	8	8	8
Athal_NC_003071.7	12100000	12200000	28	28	28
Athal_NC_003071.7	12200000	12300000	32	32	32
Athal_NC_003071.7	12300000	12400000	25	25	25
Athal_NC_003071.7	12400000	12500000	18	18	18
Athal_NC_003071.7	12500000	12600000	7	7	7
Athal_NC_003071.7	12600000	12700000	9	9	9
Athal_NC_003071.7	12700000	12800000	14	14	14
Athal_NC_003071.7	12800000	12900000	18	18	18
Athal_NC_003071.7	12900000	13000000	27	27	27
Athal_NC_003071.7	13000000	13100000	6	6	6
Athal_NC_003071.7	13100000	13200000	10	10	10
Athal_NC_003071.7	13200000	13300000	6	6	6
Athal_NC_003071.7	13300000	13400000	7	7	7
Athal_NC_003071.7	13400000	13500000	6	6	6
Athal_NC_003071.7	13500000	13600000	6	6	6
Athal_NC_003071.7	13600000	13700000	6	6	6
Athal_NC_003071.7	13700000	13800000	8	8	8
Athal_NC_003071.7	13800000	13900000	13	13	13
Athal_NC_003071.7	13900000	14000000	13	13	13
Athal_NC_003071.7	14000000	14100000	4	4	4
Athal_NC_003071.7	14100000	14200000	7	7	7
Athal_NC_003071.7	14200000	14300000	11	11	11
Athal_NC_003071.7	14300000	14400000	6	6	6
Athal_NC_003071.7	14400000	14500000	6	6	6
Athal_NC_003071.7	14500000	14600000	13	13	13
Athal_NC_003071.7	14600000	14700000	4	4	4
Athal_NC_003071.7	14700000	14800000	5	5	5
Athal_NC_003071.7	14800000	14900000	10	10	10
Athal_NC_003071.7	14900000	15000000	7	7	7
Athal_NC_003071.7	15000000	15100000	17	17	17
Athal_NC_003071.7	15100000	15200000	22	22	22
Athal_NC_003071.7	15200000	15300000	12	12	12
Athal_NC_003071.7	15300000	15400000	12	12	12
Athal_NC_003071.7	15400000	15500000	8	8	8
Athal_NC_003071.7	15500000	15600000	13	13	13
Athal_NC_003071.7	15600000	15700000	10	10	10
Athal_NC_003071.7	15700000	15800000	15	15	15
Athal_NC_003071.7	15800000	15900000	8	8	8
Athal_NC_003071.7	15900000	16000000	21	21	21
Athal_NC_003071.7	16000000	16100000	11	11	11
Athal_NC_003071.7	16100000	16200000	16	16	16
Athal_NC_003071.7	16200000	16300000	21	21	21
Athal_NC_003071.7	16300000	16400000	15	15	15
Athal_NC_003071.7	16400000	16500000	15	15	15
Athal_NC_003071.7	16500000	16600000	12	12	12
Athal_NC_003071.7	16600000	16700000	17	17	17
Athal_NC_003071.7	16700000	16800000	24	24	24
Athal_NC_003071.7	16800000	16900000	18	18	18
Athal_NC_003071.7	16900000	17000000	6	6	6
Athal_NC_003071.7	17000000	17100000	14	14	14
Athal_NC_003071.7	17100000	17200000	9	9	9
Athal_NC_003071.7	17200000	17300000	4	4	4
Athal_NC_003071.7	17300000	17400000	6	6	6
Athal_NC_003071.7	17400000	17500000	15	15	15
Athal_NC_003071.7	17500000	17600000	8	8	8
Athal_NC_003071.7	17600000	17700000	11	11	11
Athal_NC_003071.7	17700000	17800000	21	21	21
Athal_NC_003071.7	17800000	17900000	8	8	8
Athal_NC_003071.7	17900000	18000000	16	16	16
Athal_NC_003071.7	18000000	18100000	12	12	12
Athal_NC_003071.7	18100000	18200000	10	10	10
Athal_NC_003071.7	18200000	18300000	9	9	9
Athal_NC_003071.7	18300000	18400000	29	29	29
Athal_NC_003071.7	18400000	18500000	25	25	25
Athal_NC_003071.7	18500000	18600000	22	22	22
Athal_NC_003071.7	18600000	18700000	22	22	22
Athal_NC_003071.7	18700000	18800000	18	18	18
Athal_NC_003071.7	18800000	18900000	23	23	23
Athal_NC_003071.7	18900000	19000000	14	14	14
Athal_NC_003071.7	19000000	19100000	29	29	29
Athal_NC_003071.7	19100000	19200000	12	12	12
Athal_NC_003071.7	19200000	19300000	19	19	19
Athal_NC_003071.7	19300000	19400000	7	7	7
Athal_NC_003071.7	19400000	19500000	11	11	11
Athal_NC_003071.7	19500000	19600000	5	5	5
Athal_NC_003071.7	19600000	19700000	4	4	4
Athal_NC_003074.8	0	100000	4	4	4
Athal_NC_003074.8	100000	200000	12	12	12
Athal_NC_003074.8	200000	300000	6	6	6
Athal_NC_003074.8	300000	400000	15	15	15
Athal_NC_003074.8	400000	500000	8	8	8
Athal_NC_003074.8	500000	600000	8	8	8
Athal_NC_003074.8	600000	700000	19	19	19
Athal_NC_003074.8	700000	800000	1	1	1
Athal_NC_003074.8	800000	900000	26	26	26
Athal_NC_003074.8	900000	1000000	11	11	11
Athal_NC_003074.8	1000000	1100000	26	26	26
Athal_NC_003074.8	1100000	1200000	18	18	18
Athal_NC_003074.8	1200000	1300000	16	16	16
Athal_NC_003074.8	1300000	1400000	21	21	21
Athal_NC_003074.8	1400000	1500000	22	22	22
Athal_NC_003074.8	1500000	1600000	20	20	20
Athal_NC_003074.8	1600000	1700000	8	8	8
Athal_NC_003074.8	1700000	1800000	13	13	13
Athal_NC_003074.8	1800000	1900000	18	18	18
Athal_NC_003074.8	1900000	2000000	9	9	9
Athal_NC_003074.8	2000000	2100000	5	5	5
Athal_NC_003074.8	2100000	2200000	13	13	13
Athal_NC_003074.8	2200000	2300000	3	3	3
Athal_NC_003074.8	2300000	2400000	19	19	19
Athal_NC_003074.8	2400000	2500000	10	10	10
Athal_NC_003074.8	2500000	2600000	14	14	14
Athal_NC_003074.8	2600000	2700000	9	9	9
Athal_NC_003074.8	2700000	2800000	1	1	1
Athal_NC_003074.8	2800000	2900000	18	18	18
Athal_NC_003074.8	2900000	3000000	7	7	7
Athal_NC_003074.8	3000000	3100000	14	14	14
Athal_NC_003074.8	3100000	3200000	10	10	10
Athal_NC_003074.8	3200000	3300000	5	5	5
Athal_NC_003074.8	3300000	3400000	13	13	13
Athal_NC_003074.8	3400000	3500000	17	17	17
Athal_NC_003074.8	3500000	3600000	12	12	12
Athal_NC_003074.8	3600000	3700000	29	29	29
Athal_NC_003074.8	3700000	3800000	7	7	7
