ID	GENE_COORD	GENE_NAME	BIOMART	OG
Medtr1g007017	Mtrunc_chr1:155304-156354	Medtr1g007017	MTR_1g007017	OG0014615
Medtr1g007020	Mtrunc_chr1:159169-160593	Medtr1g007020	MTR_1g007020	OG0000069
Medtr1g007030	Mtrunc_chr1:164282-167260	Medtr1g007030	MTR_1g007030	OG0000226
Medtr1g007060	Mtrunc_chr1:171864-178799	Medtr1g007060	MTR_1g007060	OG0006202
Medtr1g007120	Mtrunc_chr1:184125-190492	Medtr1g007120	MTR_1g007120	OG0009063
Medtr1g007150	Mtrunc_chr1:198077-203795	Medtr1g007150	MTR_1g007150	OG0000392
Medtr1g007160	Mtrunc_chr1:206900-213875	Medtr1g007160	MTR_1g007160	OG0007810
Medtr1g007170	Mtrunc_chr1:215277-219688	Medtr1g007170	MTR_1g007170	OG0009249
Medtr1g007180	Mtrunc_chr1:220850-224972	Medtr1g007180	MTR_1g007180	OG0020275
Medtr1g007190	Mtrunc_chr1:226814-227792	Medtr1g007190	MTR_1g007190	OG0027880
Medtr1g007200	Mtrunc_chr1:230993-231749	Medtr1g007200	MTR_1g007200	OG0000561
Medtr1g007220	Mtrunc_chr1:234933-235778	Medtr1g007220	MTR_1g007220	OG0000561
Medtr1g007230	Mtrunc_chr1:235826-236154	Medtr1g007230	MTR_1g007230	OG0000561
Medtr1g007240	Mtrunc_chr1:240957-244142	Medtr1g007240	MTR_1g007240	OG0020275
Medtr1g007250	Mtrunc_chr1:246718-247212	Medtr1g007250	MTR_1g007250	OG0000561
Medtr1g007260	Mtrunc_chr1:250502-251671	Medtr1g007260	MTR_1g007260	OG0000561
Medtr1g007270	Mtrunc_chr1:255917-258926	Medtr1g007270	MTR_1g007270	OG0027880
Medtr1g007290	Mtrunc_chr1:261026-262655	Medtr1g007290	MTR_1g007290	NA
Medtr1g007300	Mtrunc_chr1:264988-268696	Medtr1g007300	MTR_1g007300	OG0000082
Medtr1g007310	Mtrunc_chr1:271776-272313	Medtr1g007310	MTR_1g007310	OG0015836
Medtr1g007320	Mtrunc_chr1:273357-279902	Medtr1g007320	MTR_1g007320	OG0009475
Medtr1g007325	Mtrunc_chr1:281812-284325	Medtr1g007325	MTR_1g007325	NA
Medtr1g007340	Mtrunc_chr1:284592-290174	Medtr1g007340	MTR_1g007340	NA
Medtr1g007360	Mtrunc_chr1:301574-305370	Medtr1g007360	MTR_1g007360	OG0001505
Medtr1g007370	Mtrunc_chr1:306478-310765	Medtr1g007370	MTR_1g007370	OG0010040
Medtr1g007380	Mtrunc_chr1:311854-315988	Medtr1g007380	MTR_1g007380	OG0000940
Medtr1g007385	Mtrunc_chr1:324335-324631	Medtr1g007385	MTR_1g007385	OG0012845
Medtr1g007390	Mtrunc_chr1:326268-334078	Medtr1g007390	MTR_1g007390	OG0006062
Medtr1g007410	Mtrunc_chr1:344159-345370	Medtr1g007410	MTR_1g007410	OG0000043
Medtr1g007420	Mtrunc_chr1:346727-359190	Medtr1g007420	MTR_1g007420	OG0004634
Medtr1g007430	Mtrunc_chr1:360957-362032	Medtr1g007430	MTR_1g007430	OG0000043
Medtr1g007450	Mtrunc_chr1:367877-369839	Medtr1g007450	MTR_1g007450	OG0000043
Medtr1g007460	Mtrunc_chr1:375738-381884	Medtr1g007460	MTR_1g007460	OG0004805
Medtr1g007480	Mtrunc_chr1:390537-394034	Medtr1g007480	MTR_1g007480	OG0010805
Medtr1g007490	Mtrunc_chr1:395594-399425	Medtr1g007490	MTR_1g007490	OG0012443
Medtr1g007510	Mtrunc_chr1:413021-417854	Medtr1g007510	MTR_1g007510	OG0027881
Medtr1g007520	Mtrunc_chr1:419203-421087	Medtr1g007520	MTR_1g007520	OG0001181
Medtr1g007530	Mtrunc_chr1:423965-425003	Medtr1g007530	MTR_1g007530	OG0000253
Medtr1g007540	Mtrunc_chr1:425661-428859	Medtr1g007540	MTR_1g007540	OG0001005
Medtr1g007580	Mtrunc_chr1:437876-442182	Medtr1g007580	MTR_1g007580	OG0001005
Medtr1g007590	Mtrunc_chr1:444327-448550	Medtr1g007590	MTR_1g007590	NA
Medtr1g007600	Mtrunc_chr1:449631-452191	Medtr1g007600	MTR_1g007600	OG0016309
Medtr1g007610	Mtrunc_chr1:453448-455881	Medtr1g007610	MTR_1g007610	OG0012955
Medtr1g007630	Mtrunc_chr1:461057-470041	Medtr1g007630	MTR_1g007630	OG0010301
Medtr1g007640	Mtrunc_chr1:472208-476611	Medtr1g007640	MTR_1g007640	OG0010152
Medtr1g007650	Mtrunc_chr1:477307-479589	Medtr1g007650	MTR_1g007650	OG0000953
Medtr1g007670	Mtrunc_chr1:488273-491588	Medtr1g007670	MTR_1g007670	OG0008679
Medtr1g007740	Mtrunc_chr1:529208-533085	Medtr1g007740	MTR_1g007740	OG0000945
Medtr1g007800	Mtrunc_chr1:563999-568578	Medtr1g007800	MTR_1g007800	OG0009689
Medtr1g007810	Mtrunc_chr1:575699-577522	Medtr1g007810	MTR_1g007810	OG0001019
Medtr1g007830	Mtrunc_chr1:581887-584794	Medtr1g007830	MTR_1g007830	OG0013703
Medtr1g007840	Mtrunc_chr1:589317-592263	Medtr1g007840	MTR_1g007840	OG0003925
Medtr1g007860	Mtrunc_chr1:595273-602175	Medtr1g007860	MTR_1g007860	OG0007464
Medtr1g007870	Mtrunc_chr1:604727-606101	Medtr1g007870	MTR_1g007870	OG0008418
Medtr1g007880	Mtrunc_chr1:606935-609028	Medtr1g007880	MTR_1g007880	OG0003000
Medtr1g007905	Mtrunc_chr1:616468-618841	Medtr1g007905	MTR_1g007905	OG0003487
Medtr1g007920	Mtrunc_chr1:623232-627735	Medtr1g007920	MTR_1g007920	OG0009438
Medtr1g007930	Mtrunc_chr1:630471-630665	Medtr1g007930	MTR_1g007930	OG0000253
Medtr1g007950	Mtrunc_chr1:645692-653483	Medtr1g007950	MTR_1g007950	OG0001970
Medtr1g007990	Mtrunc_chr1:656620-665586	Medtr1g007990	MTR_1g007990	OG0001970
Medtr1g008000	Mtrunc_chr1:668789-669722	Medtr1g008000	MTR_1g008000	OG0014616
Medtr1g008010	Mtrunc_chr1:670923-671605	Medtr1g008010	MTR_1g008010	OG0003645
Medtr1g008030	Mtrunc_chr1:676605-677685	Medtr1g008030	MTR_1g008030	OG0003645
Medtr1g008050	Mtrunc_chr1:683455-698554	Medtr1g008050	MTR_1g008050	OG0001970
Medtr1g008060	Mtrunc_chr1:708137-717726	Medtr1g008060	MTR_1g008060	OG0000292
Medtr1g008070	Mtrunc_chr1:720181-720500	Medtr1g008070	MTR_1g008070	OG0000699
Medtr1g008090	Mtrunc_chr1:722183-723135	Medtr1g008090	MTR_1g008090	OG0000699
Medtr1g008120	Mtrunc_chr1:732376-737785	Medtr1g008120	MTR_1g008120	OG0001665
Medtr1g008140	Mtrunc_chr1:744520-748436	Medtr1g008140	MTR_1g008140	OG0004116
Medtr1g008160	Mtrunc_chr1:763273-768724	Medtr1g008160	MTR_1g008160	OG0000352
Medtr1g008170	Mtrunc_chr1:769625-772406	Medtr1g008170	MTR_1g008170	OG0002922
Medtr1g008195	Mtrunc_chr1:779215-781348	Medtr1g008195	MTR_1g008195	OG0002922
Medtr1g008200	Mtrunc_chr1:783312-786579	Medtr1g008200	MTR_1g008200	OG0002922
Medtr1g008220	Mtrunc_chr1:804510-809146	Medtr1g008220	MTR_1g008220	OG0004082
Medtr1g008230	Mtrunc_chr1:813490-824184	Medtr1g008230	MTR_1g008230	OG0001351
Medtr1g008240	Mtrunc_chr1:825317-829126	Medtr1g008240	MTR_1g008240	OG0000152
Medtr1g008250	Mtrunc_chr1:830311-830751	Medtr1g008250	MTR_1g008250	NA
Medtr1g008280	Mtrunc_chr1:836416-842304	Medtr1g008280	MTR_1g008280	OG0005714
Medtr1g008290	Mtrunc_chr1:845508-846205	Medtr1g008290	MTR_1g008290	OG0000046
Medtr1g008300	Mtrunc_chr1:846306-849646	Medtr1g008300	MTR_1g008300	OG0007206
Medtr1g008310	Mtrunc_chr1:850741-854624	Medtr1g008310	MTR_1g008310	OG0003177
Medtr1g008340	Mtrunc_chr1:859989-860195	Medtr1g008340	MTR_1g008340	OG0020276
Medtr1g008350	Mtrunc_chr1:861041-865731	Medtr1g008350	MTR_1g008350	OG0005146
Medtr1g008360	Mtrunc_chr1:866590-869072	Medtr1g008360	MTR_1g008360	OG0016357
Medtr1g008370	Mtrunc_chr1:869612-879303	Medtr1g008370	MTR_1g008370	OG0008918
Medtr1g008380	Mtrunc_chr1:883915-889499	Medtr1g008380	MTR_1g008380	OG0003699
Medtr1g008420	Mtrunc_chr1:900363-902018	Medtr1g008420	MTR_1g008420	OG0001181
Medtr1g008450	Mtrunc_chr1:908671-910315	Medtr1g008450	MTR_1g008450	OG0001181
Medtr1g008460	Mtrunc_chr1:915268-916600	Medtr1g008460	MTR_1g008460	OG0001181
Medtr1g008470	Mtrunc_chr1:923318-924651	Medtr1g008470	MTR_1g008470	OG0001181
Medtr1g008500	Mtrunc_chr1:934387-937180	Medtr1g008500	MTR_1g008500	OG0001181
Medtr1g008510	Mtrunc_chr1:940984-942794	Medtr1g008510	MTR_1g008510	OG0001181
Medtr1g008530	Mtrunc_chr1:948978-949783	Medtr1g008530	MTR_1g008530	OG0001181
Medtr1g008560	Mtrunc_chr1:959394-960755	Medtr1g008560	MTR_1g008560	OG0001181
Medtr1g008580	Mtrunc_chr1:971546-972064	Medtr1g008580	MTR_1g008580	OG0001181
Medtr1g008590	Mtrunc_chr1:973945-976004	Medtr1g008590	MTR_1g008590	OG0001181
Medtr1g008600	Mtrunc_chr1:976525-991546	Medtr1g008600	MTR_1g008600	OG0012109
Medtr1g008610	Mtrunc_chr1:993930-996385	Medtr1g008610	MTR_1g008610	OG0004343
Medtr1g008620	Mtrunc_chr1:997642-998514	Medtr1g008620	MTR_1g008620	OG0001662
Medtr1g008630	Mtrunc_chr1:1000083-1000416	Medtr1g008630	MTR_1g008630	OG0016339
Medtr1g008670	Mtrunc_chr1:1017438-1021635	Medtr1g008670	MTR_1g008670	OG0004343
Medtr1g008675	Mtrunc_chr1:1021643-1022692	Medtr1g008675	MTR_1g008675	OG0001662
Medtr1g008700	Mtrunc_chr1:1027028-1030563	Medtr1g008700	MTR_1g008700	OG0006765
Medtr1g008710	Mtrunc_chr1:1033569-1034013	Medtr1g008710	MTR_1g008710	OG0027882
Medtr1g008740	Mtrunc_chr1:1057858-1061279	Medtr1g008740	MTR_1g008740	OG0000662
Medtr1g008765	Mtrunc_chr1:1068759-1069037	Medtr1g008765	MTR_1g008765	OG0007725
Medtr1g008885	Mtrunc_chr1:1077998-1079424	Medtr1g008885	MTR_1g008885	OG0020277
Medtr1g008900	Mtrunc_chr1:1086535-1087384	Medtr1g008900	MTR_1g008900	OG0012846
Medtr1g008910	Mtrunc_chr1:1088215-1088744	Medtr1g008910	MTR_1g008910	OG0012846
Medtr1g008930	Mtrunc_chr1:1091886-1092401	Medtr1g008930	MTR_1g008930	OG0005203
Medtr1g008950	Mtrunc_chr1:1104500-1106905	Medtr1g008950	MTR_1g008950	OG0005203
Medtr1g008980	Mtrunc_chr1:1119784-1129267	Medtr1g008980	MTR_1g008980	OG0002692
Medtr1g008990	Mtrunc_chr1:1129608-1135125	Medtr1g008990	MTR_1g008990	OG0005919
Medtr1g009000	Mtrunc_chr1:1137934-1138751	Medtr1g009000	MTR_1g009000	OG0001391
Medtr1g009010	Mtrunc_chr1:1141945-1145771	Medtr1g009010	MTR_1g009010	OG0004394
Medtr1g009030	Mtrunc_chr1:1149419-1151070	Medtr1g009030	MTR_1g009030	OG0003141
Medtr1g009040	Mtrunc_chr1:1154803-1155204	Medtr1g009040	MTR_1g009040	OG0009993
Medtr1g009110	Mtrunc_chr1:1177550-1178689	Medtr1g009110	MTR_1g009110	OG0014616
Medtr1g009140	Mtrunc_chr1:1188429-1188668	Medtr1g009140	MTR_1g009140	OG0002138
Medtr1g009150	Mtrunc_chr1:1196660-1197427	Medtr1g009150	MTR_1g009150	OG0002793
Medtr1g009155	Mtrunc_chr1:1200939-1201529	Medtr1g009155	MTR_1g009155	OG0006144
Medtr1g009170	Mtrunc_chr1:1201921-1203399	Medtr1g009170	MTR_1g009170	OG0000345
Medtr1g009180	Mtrunc_chr1:1203658-1205237	Medtr1g009180	MTR_1g009180	OG0012539
Medtr1g009190	Mtrunc_chr1:1208841-1219722	Medtr1g009190	MTR_1g009190	OG0006007
Medtr1g009200	Mtrunc_chr1:1220841-1224095	Medtr1g009200	MTR_1g009200	OG0000345
Medtr1g009210	Mtrunc_chr1:1224296-1226347	Medtr1g009210	MTR_1g009210	OG0006144
Medtr1g009220	Mtrunc_chr1:1232040-1235577	Medtr1g009220	MTR_1g009220	OG0006774
Medtr1g009230	Mtrunc_chr1:1238758-1241261	Medtr1g009230	MTR_1g009230	OG0011664
Medtr1g009240	Mtrunc_chr1:1245198-1246195	Medtr1g009240	MTR_1g009240	OG0019652
Medtr1g009260	Mtrunc_chr1:1250760-1251509	Medtr1g009260	MTR_1g009260	OG0020278
Medtr1g009270	Mtrunc_chr1:1253486-1256331	Medtr1g009270	MTR_1g009270	OG0000616
Medtr1g009280	Mtrunc_chr1:1257277-1258887	Medtr1g009280	MTR_1g009280	OG0013126
Medtr1g009310	Mtrunc_chr1:1268905-1275264	Medtr1g009310	MTR_1g009310	OG0000260
Medtr1g009315	Mtrunc_chr1:1275993-1296395	Medtr1g009315	MTR_1g009315	OG0006775
Medtr1g009570	Mtrunc_chr1:1299615-1314837	Medtr1g009570	MTR_1g009570	OG0006775
Medtr1g009600	Mtrunc_chr1:1326040-1328412	Medtr1g009600	MTR_1g009600	OG0001963
Medtr1g009610	Mtrunc_chr1:1329522-1342298	Medtr1g009610	MTR_1g009610	OG0010803
Medtr1g009430	Mtrunc_chr1:1345602-1346212	Medtr1g009430	MTR_1g009430	OG0022914
Medtr1g009420	Mtrunc_chr1:1347598-1351585	Medtr1g009420	MTR_1g009420	OG0020279
Medtr1g009613	Mtrunc_chr1:1360197-1362833	Medtr1g009613	MTR_1g009613	OG0003549
Medtr1g009617	Mtrunc_chr1:1377649-1383737	Medtr1g009617	MTR_1g009617	OG0020280
Medtr1g009480	Mtrunc_chr1:1386835-1387373	Medtr1g009480	MTR_1g009480	OG0016685
Medtr1g009460	Mtrunc_chr1:1391603-1391836	Medtr1g009460	MTR_1g009460	OG0002736
Medtr1g009450	Mtrunc_chr1:1392339-1394152	Medtr1g009450	MTR_1g009450	OG0009768
Medtr1g009620	Mtrunc_chr1:1396020-1399053	Medtr1g009620	MTR_1g009620	OG0005057
Medtr1g009640	Mtrunc_chr1:1409585-1411442	Medtr1g009640	MTR_1g009640	OG0002921
Medtr1g009650	Mtrunc_chr1:1414912-1421469	Medtr1g009650	MTR_1g009650	OG0013621
Medtr1g009660	Mtrunc_chr1:1422158-1425491	Medtr1g009660	MTR_1g009660	OG0007142
Medtr1g009680	Mtrunc_chr1:1431581-1436375	Medtr1g009680	MTR_1g009680	OG0003142
Medtr1g009690	Mtrunc_chr1:1438514-1441169	Medtr1g009690	MTR_1g009690	OG0002088
Medtr1g009710	Mtrunc_chr1:1448833-1451707	Medtr1g009710	MTR_1g009710	OG0002088
Medtr1g009720	Mtrunc_chr1:1458446-1464777	Medtr1g009720	MTR_1g009720	OG0000086
Medtr1g009750	Mtrunc_chr1:1493125-1494825	Medtr1g009750	MTR_1g009750	OG0000862
Medtr1g009760	Mtrunc_chr1:1495173-1503400	Medtr1g009760	MTR_1g009760	OG0000086
Medtr1g009770	Mtrunc_chr1:1509159-1512465	Medtr1g009770	MTR_1g009770	OG0004611
Medtr1g009780	Mtrunc_chr1:1513775-1516852	Medtr1g009780	MTR_1g009780	OG0006227
Medtr1g009790	Mtrunc_chr1:1518968-1522874	Medtr1g009790	MTR_1g009790	OG0008474
Medtr1g009820	Mtrunc_chr1:1536423-1536909	Medtr1g009820	MTR_1g009820	OG0010241
Medtr1g009840	Mtrunc_chr1:1542198-1544398	Medtr1g009840	MTR_1g009840	OG0004211
Medtr1g009850	Mtrunc_chr1:1551191-1552908	Medtr1g009850	MTR_1g009850	NA
Medtr1g009860	Mtrunc_chr1:1556922-1566166	Medtr1g009860	MTR_1g009860	OG0009596
Medtr1g009890	Mtrunc_chr1:1581516-1585760	Medtr1g009890	MTR_1g009890	OG0002266
Medtr1g009900	Mtrunc_chr1:1590188-1591062	Medtr1g009900	MTR_1g009900	OG0001741
Medtr1g009910	Mtrunc_chr1:1612264-1613159	Medtr1g009910	MTR_1g009910	OG0017876
Medtr1g009920	Mtrunc_chr1:1620447-1622595	Medtr1g009920	MTR_1g009920	OG0017876
Medtr1g009940	Mtrunc_chr1:1628800-1629663	Medtr1g009940	MTR_1g009940	OG0017876
Medtr1g009950	Mtrunc_chr1:1636871-1637789	Medtr1g009950	MTR_1g009950	OG0017876
Medtr1g009960	Mtrunc_chr1:1649119-1654584	Medtr1g009960	MTR_1g009960	OG0000787
Medtr1g009970	Mtrunc_chr1:1655448-1657343	Medtr1g009970	MTR_1g009970	OG0000271
Medtr1g009980	Mtrunc_chr1:1660245-1664679	Medtr1g009980	MTR_1g009980	OG0012132
Medtr1g010000	Mtrunc_chr1:1665925-1667788	Medtr1g010000	MTR_1g010000	OG0011575
Medtr1g010010	Mtrunc_chr1:1676321-1682368	Medtr1g010010	MTR_1g010010	OG0002794
Medtr1g010020	Mtrunc_chr1:1683523-1688017	Medtr1g010020	MTR_1g010020	OG0011679
Medtr1g010040	Mtrunc_chr1:1703938-1713526	Medtr1g010040	MTR_1g010040	OG0008078
Medtr1g010050	Mtrunc_chr1:1714470-1715277	Medtr1g010050	MTR_1g010050	OG0014474
Medtr1g010070	Mtrunc_chr1:1724639-1728515	Medtr1g010070	MTR_1g010070	OG0012882
Medtr1g010080	Mtrunc_chr1:1729190-1733113	Medtr1g010080	MTR_1g010080	OG0012114
Medtr1g010100	Mtrunc_chr1:1738827-1739165	Medtr1g010100	MTR_1g010100	OG0006955
Medtr1g010110	Mtrunc_chr1:1745637-1747295	Medtr1g010110	MTR_1g010110	OG0005059
Medtr1g010120	Mtrunc_chr1:1751260-1754940	Medtr1g010120	MTR_1g010120	OG0003033
Medtr1g010130	Mtrunc_chr1:1758257-1761173	Medtr1g010130	MTR_1g010130	OG0010806
Medtr1g010140	Mtrunc_chr1:1768577-1771451	Medtr1g010140	MTR_1g010140	OG0004342
Medtr1g010150	Mtrunc_chr1:1778859-1781683	Medtr1g010150	MTR_1g010150	OG0002343
Medtr1g010170	Mtrunc_chr1:1784076-1784423	Medtr1g010170	MTR_1g010170	OG0002343
Medtr1g010180	Mtrunc_chr1:1792069-1792751	Medtr1g010180	MTR_1g010180	OG0027883
Medtr1g010190	Mtrunc_chr1:1793366-1794171	Medtr1g010190	MTR_1g010190	OG0000468
Medtr1g010210	Mtrunc_chr1:1806316-1808831	Medtr1g010210	MTR_1g010210	OG0005193
Medtr1g010220	Mtrunc_chr1:1815272-1818180	Medtr1g010220	MTR_1g010220	OG0000045
Medtr1g010230	Mtrunc_chr1:1832241-1833627	Medtr1g010230	MTR_1g010230	OG0002130
Medtr1g010240	Mtrunc_chr1:1839809-1843670	Medtr1g010240	MTR_1g010240	OG0000045
Medtr1g010250	Mtrunc_chr1:1855016-1857884	Medtr1g010250	MTR_1g010250	OG0000045
Medtr1g010260	Mtrunc_chr1:1865298-1869279	Medtr1g010260	MTR_1g010260	OG0000045
Medtr1g010270	Mtrunc_chr1:1874465-1876458	Medtr1g010270	MTR_1g010270	OG0005193
Medtr1g010290	Mtrunc_chr1:1888016-1894865	Medtr1g010290	MTR_1g010290	OG0004174
Medtr1g010300	Mtrunc_chr1:1902541-1916763	Medtr1g010300	MTR_1g010300	OG0011257
Medtr1g011280	Mtrunc_chr1:1918950-1921811	Medtr1g011280	MTR_1g011280	OG0005861
Medtr1g010310	Mtrunc_chr1:1937707-1939281	Medtr1g010310	MTR_1g010310	OG0000167
Medtr1g011245	Mtrunc_chr1:1948650-1949973	Medtr1g011245	MTR_1g011245	OG0000167
Medtr1g011260	Mtrunc_chr1:1953709-1955267	Medtr1g011260	MTR_1g011260	OG0020281
Medtr1g011200	Mtrunc_chr1:1957780-1957998	Medtr1g011200	MTR_1g011200	OG0002877
Medtr1g011320	Mtrunc_chr1:1963143-1965930	Medtr1g011320	MTR_1g011320	OG0001392
Medtr1g011357	Mtrunc_chr1:1976772-1978499	Medtr1g011357	MTR_1g011357	OG0005823
Medtr1g011360	Mtrunc_chr1:1983271-1985865	Medtr1g011360	MTR_1g011360	OG0005823
Medtr1g011380	Mtrunc_chr1:1996826-2002136	Medtr1g011380	MTR_1g011380	OG0006766
Medtr1g011400	Mtrunc_chr1:2006190-2008130	Medtr1g011400	MTR_1g011400	OG0000468
Medtr1g011410	Mtrunc_chr1:2010288-2012913	Medtr1g011410	MTR_1g011410	OG0000468
Medtr1g011415	Mtrunc_chr1:2013845-2014173	Medtr1g011415	MTR_1g011415	OG0000167
Medtr1g011430	Mtrunc_chr1:2019507-2021235	Medtr1g011430	MTR_1g011430	OG0000468
Medtr1g011440	Mtrunc_chr1:2024119-2024304	Medtr1g011440	MTR_1g011440	OG0000170
Medtr1g011460	Mtrunc_chr1:2029392-2032542	Medtr1g011460	MTR_1g011460	OG0003178
Medtr1g011470	Mtrunc_chr1:2033308-2038488	Medtr1g011470	MTR_1g011470	OG0000890
Medtr1g011490	Mtrunc_chr1:2047500-2049055	Medtr1g011490	MTR_1g011490	OG0000505
Medtr1g011510	Mtrunc_chr1:2055774-2058499	Medtr1g011510	MTR_1g011510	OG0007506
Medtr1g011520	Mtrunc_chr1:2060030-2064273	Medtr1g011520	MTR_1g011520	OG0013623
Medtr1g011540	Mtrunc_chr1:2066824-2068509	Medtr1g011540	MTR_1g011540	OG0013571
Medtr1g011580	Mtrunc_chr1:2083698-2086776	Medtr1g011580	MTR_1g011580	OG0001203
Medtr1g011600	Mtrunc_chr1:2095330-2096494	Medtr1g011600	MTR_1g011600	OG0022915
Medtr1g011610	Mtrunc_chr1:2100048-2110686	Medtr1g011610	MTR_1g011610	OG0006767
Medtr1g011625	Mtrunc_chr1:2115543-2115707	Medtr1g011625	MTR_1g011625	OG0003129
Medtr1g011630	Mtrunc_chr1:2133963-2136290	Medtr1g011630	MTR_1g011630	OG0004341
Medtr1g011640	Mtrunc_chr1:2146078-2154686	Medtr1g011640	MTR_1g011640	OG0000250
Medtr1g011650	Mtrunc_chr1:2157509-2167106	Medtr1g011650	MTR_1g011650	OG0000250
Medtr1g011660	Mtrunc_chr1:2172188-2173756	Medtr1g011660	MTR_1g011660	OG0013701
Medtr1g011670	Mtrunc_chr1:2174678-2174997	Medtr1g011670	MTR_1g011670	OG0008357
Medtr1g011680	Mtrunc_chr1:2177904-2178440	Medtr1g011680	MTR_1g011680	OG0016339
Medtr1g011690	Mtrunc_chr1:2179359-2182483	Medtr1g011690	MTR_1g011690	OG0005860
Medtr1g011700	Mtrunc_chr1:2184151-2186458	Medtr1g011700	MTR_1g011700	OG0005860
Medtr1g011720	Mtrunc_chr1:2193529-2203920	Medtr1g011720	MTR_1g011720	OG0008010
Medtr1g011730	Mtrunc_chr1:2204067-2205465	Medtr1g011730	MTR_1g011730	OG0027884
Medtr1g011740	Mtrunc_chr1:2210664-2214075	Medtr1g011740	MTR_1g011740	OG0027884
Medtr1g011750	Mtrunc_chr1:2215483-2219316	Medtr1g011750	MTR_1g011750	OG0001016
Medtr1g011850	Mtrunc_chr1:2223509-2226797	Medtr1g011850	MTR_1g011850	OG0001016
Medtr1g011840	Mtrunc_chr1:2231939-2236207	Medtr1g011840	MTR_1g011840	OG0001051
Medtr1g011880	Mtrunc_chr1:2251690-2255411	Medtr1g011880	MTR_1g011880	OG0003179
Medtr1g011800	Mtrunc_chr1:2282936-2288081	Medtr1g011800	MTR_1g011800	OG0001396
Medtr1g011810	Mtrunc_chr1:2288800-2289628	Medtr1g011810	MTR_1g011810	OG0003645
Medtr1g011990	Mtrunc_chr1:2303846-2308235	Medtr1g011990	MTR_1g011990	OG0000697
Medtr1g012000	Mtrunc_chr1:2308837-2309308	Medtr1g012000	MTR_1g012000	NA
