ID	GENE_COORD	TAIR	GENE_NAME	OG
gene-DA397_mgp21	Athal_NC_037304.1:221694-222610	nbis-gene-90	rpl2	OG0012063
gene-DA397_mgp20	Athal_NC_037304.1:231089-233059	nbis-sequence_feature-9	matR	NA
gene-DA397_mgp19	Athal_NC_037304.1:242625-243091	nbis-gene-89	nad7	OG0000968
gene-DA397_mgp18	Athal_NC_037304.1:247016-247492	nbis-gene-88	atp8	OG0014881
gene-DA397_mgp17	Athal_NC_037304.1:264467-265516	nbis-gene-87	atp6	OG0010150
gene-DA397_mgp16	Athal_NC_037304.1:270961-271185	nbis-gene-86	atp9	OG0015993
gene-DA397_mgp14	Athal_NC_037304.1:288044-288400	nbis-sequence_feature-8	nad3	OG0015476
gene-DA397_mgp13	Athal_NC_037304.1:288446-288823	nbis-sequence_feature-7	rps12	OG0003365
gene-DA397_mgp12	Athal_NC_037304.1:291580-292191	nbis-sequence_feature-6	ccmFN2	OG0008825
gene-DA397_mgp11	Athal_NC_037304.1:308298-309068	nbis-sequence_feature-5	ccmC	NA
gene-DA397_mgp10	Athal_NC_037304.1:316013-317161	nbis-sequence_feature-4	ccmFN1	OG0008825
gene-DA397_mgp07	Athal_NC_037304.1:329976-330773	nbis-gene-85	cox3	OG0014396
gene-DA397_mgp04	Athal_NC_037304.1:361637-361939	nbis-sequence_feature-3	nad4L	OG0017275
gene-DA397_mgp03	Athal_NC_037304.1:362206-362784	nbis-sequence_feature-2	atp4	OG0019373
gene-AT2G01008	Athal_NC_003071.7:1025-3173	AT2G01008	AT2G01008	NA
gene-AT2G01021	Athal_NC_003071.7:6571-6672	AT2G01021	AT2G01021	OG0021372
gene-AT2G01035	Athal_NC_003071.7:50288-51487	AT2G01035	AT2G01035	OG0019374
gene-AT2G01045	Athal_NC_003071.7:53269-54468	AT2G01045	AT2G01045	OG0019374
gene-AT2G01050	Athal_NC_003071.7:68337-69884	AT2G01050	AT2G01050	OG0000558
gene-AT2G01060	Athal_NC_003071.7:73208-75509	AT2G01060	AT2G01060	OG0006591
gene-AT2G01070	Athal_NC_003071.7:75520-77865	AT2G01070	AT2G01070	OG0011808
gene-AT2G01080	Athal_NC_003071.7:77888-79373	AT2G01080	AT2G01080	OG0005988
gene-AT2G01090	Athal_NC_003071.7:79989-81710	AT2G01090	AT2G01090	OG0006381
gene-AT2G01100	Athal_NC_003071.7:81437-83290	AT2G01100	AT2G01100	OG0011809
gene-AT2G01110	Athal_NC_003071.7:83260-85258	AT2G01110	APG2	OG0010515
gene-AT2G01120	Athal_NC_003071.7:85401-88399	AT2G01120	ORC4	OG0009286
gene-AT2G01130	Athal_NC_003071.7:88320-94753	AT2G01130	AT2G01130	OG0003749
gene-AT2G01140	Athal_NC_003071.7:94727-96863	AT2G01140	PDE345	OG0001048
gene-AT2G01150	Athal_NC_003071.7:100484-101524	AT2G01150	RHA2B	OG0004918
gene-AT2G01170	Athal_NC_003071.7:102156-104574	AT2G01170	BAT1	OG0006592
gene-AT2G01180	Athal_NC_003071.7:106621-108829	AT2G01180	PAP1	OG0002956
gene-AT2G01190	Athal_NC_003071.7:114926-117750	AT2G01190	PDE331	OG0001920
gene-AT2G01200	Athal_NC_003071.7:118018-120095	AT2G01200	IAA32	OG0009287
gene-AT2G01210	Athal_NC_003071.7:119270-121980	AT2G01210	AT2G01210	OG0007305
gene-AT2G01220	Athal_NC_003071.7:123023-126611	AT2G01220	AT2G01220	OG0008222
gene-AT2G01240	Athal_NC_003071.7:128291-129132	AT2G01240	AT2G01240	OG0024571
gene-AT2G01250	Athal_NC_003071.7:132578-134455	AT2G01250	AT2G01250	OG0001066
gene-AT2G01260	Athal_NC_003071.7:135223-137916	AT2G01260	AT2G01260	OG0002725
gene-AT2G01270	Athal_NC_003071.7:139309-142560	AT2G01270	QSOX2	OG0005409
gene-AT2G01275	Athal_NC_003071.7:142498-144524	AT2G01275	AT2G01275	OG0002546
gene-AT2G01280	Athal_NC_003071.7:145676-149394	AT2G01280	MEE65	OG0002174
gene-AT2G01290	Athal_NC_003071.7:148919-150382	AT2G01290	RPI2	OG0004052
gene-AT2G01300	Athal_NC_003071.7:151057-151971	AT2G01300	AT2G01300	OG0001921
gene-AT2G01310	Athal_NC_003071.7:152298-152827	AT2G01310	AT2G01310	OG0002012
gene-AT2G01320	Athal_NC_003071.7:154097-158182	AT2G01320	ABCG7	OG0010516
gene-AT2G01330	Athal_NC_003071.7:158183-160870	AT2G01330	AT2G01330	OG0005410
gene-AT2G01340	Athal_NC_003071.7:163954-165290	AT2G01340	At17.1	OG0000952
gene-AT2G01350	Athal_NC_003071.7:165141-167259	AT2G01350	QPT	OG0007307
gene-AT2G01360	Athal_NC_003071.7:167931-168479	AT2G01360	AT2G01360	OG0007308
gene-AT2G01370	Athal_NC_003071.7:168631-169642	AT2G01370	AT2G01370	OG0000555
gene-AT2G01379	Athal_NC_003071.7:171098-171472	AT2G01379	AT2G01379	OG0017276
gene-AT2G01390	Athal_NC_003071.7:172176-174137	AT2G01390	EMB3111	OG0007308
gene-AT2G01400	Athal_NC_003071.7:174168-175617	AT2G01400	AT2G01400	OG0016196
gene-AT2G01410	Athal_NC_003071.7:175040-176407	AT2G01410	AT2G01410	OG0006382
gene-AT2G01420	Athal_NC_003071.7:180033-183764	AT2G01420	PIN4	OG0002370
gene-AT2G01430	Athal_NC_003071.7:187608-190369	AT2G01430	HB17	OG0010517
gene-AT2G01440	Athal_NC_003071.7:193164-199280	AT2G01440	AT2G01440	OG0007309
gene-AT2G01450	Athal_NC_003071.7:199511-203126	AT2G01450	MPK17	OG0000995
gene-AT2G01460	Athal_NC_003071.7:205775-211963	AT2G01460	AT2G01460	OG0008224
gene-AT2G01470	Athal_NC_003071.7:211913-214473	AT2G01470	STL2P	OG0005411
gene-AT2G01480	Athal_NC_003071.7:216605-220989	AT2G01480	AT2G01480	OG0001647
gene-AT2G01490	Athal_NC_003071.7:221013-223809	AT2G01490	PAHX	OG0011810
gene-AT2G01500	Athal_NC_003071.7:224156-226234	AT2G01500	PFS2	OG0016975
gene-AT2G01505	Athal_NC_003071.7:228577-229899	AT2G01505	CLE16	OG0012997
gene-AT2G01510	Athal_NC_003071.7:229567-232518	AT2G01510	AT2G01510	OG0016020
gene-AT2G01520	Athal_NC_003071.7:235925-237253	AT2G01520	MLP328	OG0000327
gene-AT2G01530	Athal_NC_003071.7:239669-240687	AT2G01530	MLP329	OG0000327
gene-AT2G01540	Athal_NC_003071.7:242041-243649	AT2G01540	AT2G01540	OG0000305
gene-AT2G01554	Athal_NC_003071.7:249687-250181	AT2G01554	AT2G01554	NA
gene-AT2G01560	Athal_NC_003071.7:250245-251806	AT2G01560	AT2G01560	OG0021005
gene-AT2G01570	Athal_NC_003071.7:255247-257568	AT2G01570	RGA1	OG0001065
gene-AT2G01580	Athal_NC_003071.7:265022-265948	AT2G01580	AT2G01580	OG0004919
gene-AT2G01590	Athal_NC_003071.7:266559-267926	AT2G01590	CRR3	OG0013679
gene-AT2G01600	Athal_NC_003071.7:268714-272676	AT2G01600	AT2G01600	OG0000944
gene-AT2G01610	Athal_NC_003071.7:273895-275002	AT2G01610	AT2G01610	OG0002192
gene-AT2G01620	Athal_NC_003071.7:278124-279296	AT2G01620	MEE11	OG0007310
gene-AT2G01630	Athal_NC_003071.7:279282-282123	AT2G01630	AT2G01630	OG0002718
gene-AT2G01640	Athal_NC_003071.7:282969-284598	AT2G01640	AT2G01640	OG0009079
gene-AT2G01650	Athal_NC_003071.7:284509-286515	AT2G01650	PUX2	OG0011586
gene-AT2G01660	Athal_NC_003071.7:290573-292688	AT2G01660	PDLP6	OG0002356
gene-AT2G01670	Athal_NC_003071.7:296365-298215	AT2G01670	NUDT17	OG0000716
gene-AT2G01680	Athal_NC_003071.7:306251-309267	AT2G01680	AT2G01680	OG0007311
gene-AT2G01690	Athal_NC_003071.7:308693-313805	AT2G01690	AT2G01690	OG0006710
gene-AT2G01710	Athal_NC_003071.7:315648-316993	AT2G01710	AT2G01710	OG0001125
gene-AT2G01720	Athal_NC_003071.7:317030-320308	AT2G01720	AT2G01720	OG0009288
gene-AT2G01730	Athal_NC_003071.7:320433-323963	AT2G01730	CPSF73-II	OG0011811
gene-AT2G01735	Athal_NC_003071.7:324365-326094	AT2G01735	RIE1	OG0006593
gene-AT2G01740	Athal_NC_003071.7:326136-327875	AT2G01740	AT2G01740	OG0016021
gene-AT2G01750	Athal_NC_003071.7:328025-332872	AT2G01750	MAP70-3	OG0001648
gene-AT2G01755	Athal_NC_003071.7:332188-332808	AT2G01755	AT2G01755	OG0010518
gene-AT2G01760	Athal_NC_003071.7:332917-334760	AT2G01760	RR14	OG0009289
gene-AT2G01770	Athal_NC_003071.7:334663-336462	AT2G01770	VIT1	OG0002726
gene-AT2G01780	Athal_NC_003071.7:338024-339871	AT2G01780	AT2G01780	OG0017196
gene-AT2G01790	Athal_NC_003071.7:341322-342480	AT2G01790	AT2G01790	OG0000126
gene-AT2G01800	Athal_NC_003071.7:343562-345254	AT2G01800	AT2G01800	OG0012948
gene-AT2G01810	Athal_NC_003071.7:347537-350179	AT2G01810	AT2G01810	OG0004907
gene-AT2G01818	Athal_NC_003071.7:353344-355594	AT2G01818	AT2G01818	OG0009290
gene-AT2G01820	Athal_NC_003071.7:357353-360924	AT2G01820	AT2G01820	OG0002542
gene-AT2G01830	Athal_NC_003071.7:362983-369707	AT2G01830	WOL	OG0008225
gene-AT2G01850	Athal_NC_003071.7:385171-387478	AT2G01850	EXGT-A3	OG0003750
gene-AT2G01860	Athal_NC_003071.7:388055-389918	AT2G01860	EMB975	OG0008226
gene-AT2G01870	Athal_NC_003071.7:389470-390405	AT2G01870	AT2G01870	OG0013909
gene-AT2G01880	Athal_NC_003071.7:391421-394184	AT2G01880	PAP7	OG0000812
gene-AT2G01890	Athal_NC_003071.7:396756-399338	AT2G01890	PAP8	OG0000812
gene-AT2G01900	Athal_NC_003071.7:405762-409203	AT2G01900	AT2G01900	OG0003467
gene-AT2G01905	Athal_NC_003071.7:410321-416000	AT2G01905	CYCJ18	OG0014238
gene-AT2G01910	Athal_NC_003071.7:416021-420661	AT2G01910	ATMAP65-6	OG0005412
gene-AT2G01913	Athal_NC_003071.7:421608-422643	AT2G01913	AT2G01913	OG0011812
gene-AT2G01918	Athal_NC_003071.7:424060-425810	AT2G01918	PQL3	OG0009291
gene-AT2G01920	Athal_NC_003071.7:426052-427091	AT2G01920	AT2G01920	OG0018484
gene-AT2G01930	Athal_NC_003071.7:427114-428900	AT2G01930	BPC1	OG0001126
gene-AT2G01940	Athal_NC_003071.7:432195-435100	AT2G01940	SGR5	OG0001528
gene-AT2G01950	Athal_NC_003071.7:440624-444324	AT2G01950	BRL2	OG0004467
gene-AT2G01960	Athal_NC_003071.7:450379-451910	AT2G01960	TET14	OG0024126
gene-AT2G01970	Athal_NC_003071.7:451858-454959	AT2G01970	AT2G01970	OG0001127
gene-AT2G01980	Athal_NC_003071.7:457002-463408	AT2G01980	SOS1	OG0003218
gene-AT2G01990	Athal_NC_003071.7:464994-466955	AT2G01990	AT2G01990	OG0005413
gene-AT2G02000	Athal_NC_003071.7:469370-472070	AT2G02000	GAD3	OG0000639
gene-AT2G02010	Athal_NC_003071.7:474165-476997	AT2G02010	GAD4	OG0000639
gene-AT2G02020	Athal_NC_003071.7:478977-481185	AT2G02020	PTR4	OG0021006
gene-AT2G02026	Athal_NC_003071.7:481907-482086	AT2G02026	AT2G02026	OG0024572
gene-AT2G02030	Athal_NC_003071.7:482335-483829	AT2G02030	AT2G02030	OG0015331
gene-AT2G02040	Athal_NC_003071.7:487398-489941	AT2G02040	PTR2	OG0002727
gene-AT2G02050	Athal_NC_003071.7:489952-492058	AT2G02050	AT2G02050	OG0008227
gene-AT2G02060	Athal_NC_003071.7:494745-497778	AT2G02060	AT2G02060	OG0001060
gene-AT2G02061	Athal_NC_003071.7:498025-499559	AT2G02061	AT2G02061	OG0000678
gene-AT2G02070	Athal_NC_003071.7:505375-510781	AT2G02070	IDD5	OG0000051
gene-AT2G02080	Athal_NC_003071.7:518079-521737	AT2G02080	IDD4	OG0000051
gene-AT2G02090	Athal_NC_003071.7:523223-527068	AT2G02090	ETL1	OG0011813
gene-AT2G02100	Athal_NC_003071.7:528179-529186	AT2G02100	LCR69	OG0000679
gene-AT2G02103	Athal_NC_003071.7:530241-531636	AT2G02103	AT2G02103	OG0000110
gene-AT2G02120	Athal_NC_003071.7:538250-539123	AT2G02120	PDF2.1	OG0000679
gene-AT2G02130	Athal_NC_003071.7:539898-540707	AT2G02130	LCR68	OG0000679
gene-AT2G02140	Athal_NC_003071.7:544647-545564	AT2G02140	LCR72	OG0024573
gene-AT2G02147	Athal_NC_003071.7:546596-547156	AT2G02147	LCR73	OG0024574
gene-AT2G02148	Athal_NC_003071.7:547130-549669	AT2G02148	AT2G02148	OG0011814
gene-AT2G02150	Athal_NC_003071.7:549827-552856	AT2G02150	EMB2794	OG0016022
gene-AT2G02160	Athal_NC_003071.7:553086-556131	AT2G02160	AT2G02160	OG0002957
gene-AT2G02170	Athal_NC_003071.7:556433-559035	AT2G02170	AT2G02170	OG0008228
gene-AT2G02180	Athal_NC_003071.7:560695-563367	AT2G02180	TOM3	OG0004053
gene-AT2G02220	Athal_NC_003071.7:583797-587401	AT2G02220	PSKR1	OG0003751
gene-AT2G02230	Athal_NC_003071.7:589945-591689	AT2G02230	PP2-B1	OG0000148
gene-AT2G02240	Athal_NC_003071.7:592160-593724	AT2G02240	MEE66	OG0000148
gene-AT2G02250	Athal_NC_003071.7:594484-595869	AT2G02250	PP2-B2	OG0000148
gene-AT2G02280	Athal_NC_003071.7:600491-601439	AT2G02280	PP2-B4	OG0021373
gene-AT2G02290	Athal_NC_003071.7:604453-605361	AT2G02290	AT2G02290	OG0001877
gene-AT2G02300	Athal_NC_003071.7:606182-607919	AT2G02300	PP2-B5	OG0024575
gene-AT2G02310	Athal_NC_003071.7:608586-610283	AT2G02310	PP2-B6	OG0000148
gene-AT2G02320	Athal_NC_003071.7:610428-611843	AT2G02320	PP2-B7	OG0016023
gene-AT2G02340	Athal_NC_003071.7:616088-617322	AT2G02340	PP2-B8	OG0016023
gene-AT2G02350	Athal_NC_003071.7:617414-619091	AT2G02350	SKIP3	OG0000148
gene-AT2G02360	Athal_NC_003071.7:619323-620793	AT2G02360	PP2-B10	OG0000148
gene-AT2G02370	Athal_NC_003071.7:621058-623507	AT2G02370	AT2G02370	OG0009292
gene-AT2G02380	Athal_NC_003071.7:626842-628676	AT2G02380	GSTZ2	OG0001792
gene-AT2G02390	Athal_NC_003071.7:628730-631165	AT2G02390	GSTZ1	OG0001792
gene-AT2G02400	Athal_NC_003071.7:631140-632637	AT2G02400	AT2G02400	OG0013680
gene-AT2G02410	Athal_NC_003071.7:632634-634994	AT2G02410	AT2G02410	OG0010519
gene-AT2G02440	Athal_NC_003071.7:638012-639305	AT2G02440	AT2G02440	NA
gene-AT2G02450	Athal_NC_003071.7:647538-650820	AT2G02450	LOV1	OG0005989
gene-AT2G02470	Athal_NC_003071.7:652564-654985	AT2G02470	AL6	OG0000380
gene-AT2G02480	Athal_NC_003071.7:660655-665635	AT2G02480	STI	OG0004920
gene-AT2G02490	Athal_NC_003071.7:667041-668284	AT2G02490	AT2G02490	OG0016978
gene-AT2G02498	Athal_NC_003071.7:669760-670204	AT2G02498	AT2G02498	OG0016978
gene-AT2G02500	Athal_NC_003071.7:670497-673327	AT2G02500	ISPD	OG0008229
gene-AT2G02510	Athal_NC_003071.7:673260-674986	AT2G02510	AT2G02510	OG0009293
gene-AT2G02515	Athal_NC_003071.7:675218-675687	AT2G02515	AT2G02515	OG0024127
gene-AT2G02520	Athal_NC_003071.7:676771-678145	AT2G02520	AT2G02520	OG0000099
gene-AT2G02525	Athal_NC_003071.7:677881-678203	AT2G02525	AT2G02525	NA
gene-AT2G02540	Athal_NC_003071.7:683635-685496	AT2G02540	HB21	OG0000825
gene-AT2G02550	Athal_NC_003071.7:687384-688764	AT2G02550	AT2G02550	OG0021125
gene-AT2G02560	Athal_NC_003071.7:689784-697707	AT2G02560	CAND1	OG0008230
gene-AT2G02570	Athal_NC_003071.7:697943-700975	AT2G02570	AT2G02570	OG0010520
gene-AT2G02580	Athal_NC_003071.7:701932-703798	AT2G02580	CYP71B9	OG0000056
gene-AT2G02590	Athal_NC_003071.7:704836-706686	AT2G02590	AT2G02590	OG0006594
gene-AT2G02610	Athal_NC_003071.7:710618-712819	AT2G02610	AT2G02610	OG0013681
gene-AT2G02620	Athal_NC_003071.7:717256-719389	AT2G02620	AT2G02620	OG0013681
gene-AT2G02630	Athal_NC_003071.7:723565-725620	AT2G02630	AT2G02630	OG0013681
gene-AT2G02640	Athal_NC_003071.7:732291-734271	AT2G02640	AT2G02640	OG0013681
gene-AT2G02650	Athal_NC_003071.7:735411-736546	AT2G02650	AT2G02650	OG0000750
gene-AT2G02660	Athal_NC_003071.7:738504-739834	AT2G02660	AT2G02660	OG0000023
gene-AT2G02680	Athal_NC_003071.7:745775-748573	AT2G02680	AT2G02680	OG0013681
gene-AT2G02690	Athal_NC_003071.7:749881-751915	AT2G02690	AT2G02690	OG0013681
gene-AT2G02700	Athal_NC_003071.7:756405-757969	AT2G02700	AT2G02700	OG0013681
gene-AT2G02710	Athal_NC_003071.7:758693-761064	AT2G02710	PLPB	OG0007313
gene-AT2G02720	Athal_NC_003071.7:762927-765027	AT2G02720	AT2G02720	OG0000902
gene-AT2G02730	Athal_NC_003071.7:764604-767500	AT2G02730	AT2G02730	OG0004468
gene-AT2G02740	Athal_NC_003071.7:769334-771235	AT2G02740	WHY3	OG0006595
gene-AT2G02750	Athal_NC_003071.7:771151-773540	AT2G02750	AT2G02750	OG0014758
gene-AT2G02760	Athal_NC_003071.7:773645-775902	AT2G02760	UBC2	OG0001428
